ID,Name,V(λ) Reflectance,M(λ) Reflectance,M/P Ratio,L*,a*,b*,R_reflectance,G_reflectance,B_reflectance,Specularity,Roughness
00947,"Wood Laminate TV Shelf","","","0.55","57.58","12.38","33.99","40.87%","22.08%","6.15%","1.51%","0.20"
00948,"White Wall","","","0.98","95.19","-0.70","2.77","88.84%","88.45%","83.42%","0.24%","0.20"
00949,"Gold Cushion Chair","","","0.76","77.93","5.09","20.26","66.68%","52.14%","32.50%","0.07%","0.30"
00950,"Dark Brown Furniture","","","0.88","26.79","7.50","2.27","3.76%","0.62%","0.80%","3.73%","0.20"
00951,"Grey Window Frame","","","0.99","49.59","0.96","0.31","17.64%","16.91%","16.85%","1.23%","0.20"
00952,"White Door","","","0.93","80.90","-0.87","6.47","59.44%","58.52%","49.91%","1.27%","0.20"
00953,"Matte Ceramic Floor Tile","","","0.93","83.94","0.85","6.15","67.57%","63.49%","55.61%","1.20%","0.20"
00954,"White Countertop","","","0.99","93.73","-0.42","2.19","85.14%","84.54%","80.85%","2.11%","0.20"
00955,"White Glossy Laminate Cabinet","","","0.97","91.88","-0.10","3.12","80.99%","79.18%","73.40%","6.87%","0.05"
00956,"Refrigerator","","","1.02","72.78","0.18","-0.79","41.52%","40.96%","41.56%","6.13%","0.10"
00957,"Wooden Parquet Floor","","","0.50","50.00","16.42","31.56","32.23%","13.95%","3.24%","2.05%","0.20"
00958,"Wooden Wardrobe","","","0.56","62.13","11.87","35.85","47.77%","26.81%","7.40%","1.93%","0.20"
00959,"White Wall","","","0.98","95.49","-0.59","2.99","89.82%","89.16%","83.77%","0.23%","0.20"
00960,"White Cabinet Side","","","0.98","92.59","-1.13","3.35","81.98%","82.43%","76.35%","1.84%","0.20"
00961,"Brown Wooden Floor","","","0.96","26.46","1.23","0.96","4.54%","4.12%","4.01%","0.74%","0.20"
00962,"Exterior Wall","","","0.93","83.82","-0.82","7.26","65.78%","64.55%","54.40%","0.16%","0.20"
00963,"Darkbrown Laminate Door","","","0.98","27.98","0.71","0.84","4.96%","4.60%","4.45%","0.83%","0.20"
00964,"Lightbrown Laminate Door","","","0.53","55.99","15.48","33.30","41.03%","19.98%","5.99%","1.18%","0.20"
00965,"Brown TV Console","","","0.88","26.34","5.17","2.71","5.30%","3.19%","3.01%","1.28%","0.20"
00966,"Dark Stone Countertop","","","1.00","29.24","0.11","-0.04","1.08%","1.03%","0.90%","4.95%","0.10"
00967,"Brown Wooden Cabinet","","","0.56","59.76","14.58","32.39","46.52%","24.56%","8.99%","0.36%","0.20"
00968,"White Ceramic Tile","","","0.97","85.51","-0.23","3.20","67.20%","65.82%","61.57%","3.87%","0.20"
00969,"White Plaster Wall","","","0.91","91.91","0.97","8.28","86.48%","80.84%","68.49%","0.00%","0.20"
00970,"Wooden Door","","","0.49","39.26","17.49","23.46","19.71%","6.88%","2.04%","1.89%","0.20"
00971,"Matte Aluminum Window Mullion","","","0.99","87.34","-0.94","1.77","68.41%","69.46%","66.59%","5.76%","0.10"
00972,"Wooden Cabinet","","","0.53","45.52","17.40","25.28","26.42%","10.07%","3.17%","2.36%","0.20"
00973,"Beige Ceramic Tile","","","0.91","80.96","1.45","7.96","63.52%","57.90%","48.74%","0.64%","0.20"
00974,"Dark Laminate Cabinet","","","0.95","30.39","1.68","1.53","6.32%","5.56%","5.27%","0.75%","0.20"
00975,"White Ceramic Tile","","","0.98","95.54","0.03","2.24","89.96%","88.59%","84.61%","3.74%","0.10"
00976,"Rust Color Glazed Ceramic Tile","","","0.96","85.32","0.64","3.58","68.01%","65.14%","60.21%","4.03%","0.10"
00977,"Wall E14 548","","","0.95","92.69","-0.47","4.92","84.04%","82.66%","74.42%","1.27%","0.20"
00978,"Ceiling E14 548","","","0.99","93.76","-0.89","1.86","84.43%","85.15%","81.54%","0.59%","0.10"
00979,"Plastic Ceiling Vent E14 548","","","1.02","92.05","-1.40","-0.41","78.18%","80.47%","80.57%","3.65%","0.05"
00980,"Door E14 548","","","1.01","77.75","-0.79","0.28","51.11%","51.95%","51.06%","2.22%","0.10"
00981,"Carpet Edge E14 548","","","0.95","25.50","0.24","0.05","4.57%","4.67%","4.56%","0.00%","0.20"
00982,"Carpet Center E14 548","","","0.97","29.25","-0.17","0.09","5.83%","6.04%","5.89%","0.00%","0.20"
00983,"Table Surface E14 548","","","0.98","93.57","-0.64","3.24","85.08%","84.43%","78.88%","1.71%","0.10"
00984,"Table Metal Trim E14 548","","","1.02","74.83","-0.57","-0.90","43.51%","44.53%","44.68%","6.53%","0.10"
00985,"Monitor Plastic E14 526","","","1.04","31.07","-0.91","-1.14","5.83%","6.26%","6.50%","0.51%","0.10"
00986,"Monitor Screen E14 526","","","1.00","27.03","-0.70","0.41","2.21%","2.33%","2.30%","2.87%","0.10"
00987,"New Wall E14 526","","","0.95","92.92","-0.36","5.54","85.09%","83.21%","74.00%","1.20%","0.10"
00988,"Old Wall E14 526","","","0.95","92.28","-0.41","5.58","83.51%","81.78%","72.59%","1.13%","0.10"
00989,"Ceiling E14 526","","","0.98","94.81","-0.29","2.34","88.16%","87.31%","83.20%","0.63%","0.10"
00990,"Wood Table E14 526","","","0.68","67.00","7.54","26.85","51.03%","34.76%","16.62%","0.51%","0.10"
00991,"Wood Table Metal Leg E14 526","","","0.95","76.29","0.63","4.11","47.57%","45.70%","41.96%","8.72%","0.10"
00992,"Purple Couch E14 526","","","1.05","26.01","9.59","-6.69","6.67%","3.91%","6.47%","0.00%","0.20"
00993,"Column E14 526","","","0.95","92.42","-0.41","5.35","83.70%","82.11%","73.25%","0.99%","0.10"
00994,"Mullion E14 526","","","1.00","76.24","-0.56","0.35","47.93%","48.71%","48.02%","3.53%","0.01"
00995,"Plastic Ceiling Vent E14 526","","","0.95","87.93","0.03","4.36","73.84%","71.95%","65.40%","1.10%","0.05"
00996,"Sliding Door E14 526","","","1.07","69.39","-1.57","-4.07","36.15%","39.49%","43.07%","1.18%","0.10"
00997,"Carpet E14 526","","","0.88","49.12","1.15","7.16","19.77%","17.61%","13.98%","0.04%","0.20"
00998,"Table E14 526","","","0.95","91.34","0.22","4.93","82.02%","79.08%","71.59%","1.48%","0.10"
00999,"Table Leg E14 526","","","1.01","66.11","-0.36","-0.40","31.36%","32.12%","32.35%","5.18%","0.01"
01000,"Table Wheel E14 526","","","1.02","26.56","-0.02","-0.78","4.59%","4.66%","4.85%","0.28%","0.10"
01001,"Media Lab Granite Steps","","","0.96","42.06","0.12","2.22","12.62%","12.26%","11.26%","0.36%","0.10"
01002,"MIT Med Brick","","","0.62","30.71","14.10","11.77","12.00%","5.21%","3.67%","0.01%","0.20"
01003,"Service Brick","","","0.57","39.00","17.89","16.92","20.46%","8.34%","5.14%","0.05%","0.20"
01004,"100 Memorial Dr Concrete","","","0.80","51.81","2.79","11.79","23.88%","19.73%","13.52%","0.08%","0.20"
01005,"100 Memorial Dr Brick","","","0.77","39.25","9.03","8.34","15.76%","9.68%","7.77%","0.02%","0.20"
01006,"Res Hall Brick","","","0.81","65.29","4.20","13.23","41.83%","33.67%","23.98%","0.13%","0.30"
01007,"Res Hall Stone","","","0.89","73.38","1.59","9.11","50.66%","45.52%","36.70%","0.17%","0.30"
01008,"Media Lab Metal","","","0.99","74.19","-0.55","1.52","45.73%","45.98%","44.00%","2.38%","0.05"
01009,"East Wall 7 301A","","","0.91","89.11","0.38","8.55","78.87%","74.83%","62.23%","0.61%","0.20"
01010,"West Wall 7 301A","","","0.91","88.98","0.41","8.45","78.55%","74.53%","62.12%","0.64%","0.20"
01011,"Tackboard 7 301A","","","0.91","89.00","0.34","8.46","78.54%","74.61%","62.15%","0.61%","0.30"
01012,"Carpet 7 301A","","","0.97","31.83","-0.29","2.10","7.33%","7.13%","6.49%","0.00%","0.20"
01013,"Tabletop 7 301A","","","0.98","92.80","0.01","2.62","83.83%","82.28%","78.03%","1.81%","0.10"
01014,"Table Leg 7 301A","","","1.03","25.26","-0.13","-0.99","3.07%","3.17%","3.29%","1.38%","0.05"
01015,"Table Bottom Edge 7 301A","","","0.63","63.54","8.76","30.58","46.30%","29.25%","10.63%","1.97%","0.20"
01016,"Table Bottom Center 7 301A","","","0.70","42.59","8.63","15.09","19.24%","11.66%","7.04%","0.11%","0.20"
01017,"Door 7 301A","","","0.72","77.00","6.54","25.59","67.42%","48.33%","24.80%","3.28%","0.05"
01018,"Door Closer 7 301A","","","0.91","34.63","1.91","3.19","6.09%","5.09%","4.28%","3.29%","0.05"
01019,"Doorknob 7 301A","","","0.89","35.59","2.69","4.39","9.54%","7.87%","6.76%","0.77%","0.05"
01020,"Paper on Door 7 301A","","","1.13","91.23","3.05","-13.69","75.27%","76.44%","101.91%","0.55%","0.05"
01021,"Fire Alarm 7 301A","","","0.41","40.15","42.00","21.76","36.36%","3.18%","3.92%","0.75%","0.05"
01022,"Light Switch Plate 7 301A","","","0.95","70.46","0.59","4.21","36.45%","35.25%","32.44%","9.73%","0.00"
01023,"Window Sill 7 301A","","","1.01","25.94","-0.02","-0.51","3.01%","3.07%","3.15%","1.71%","0.10"
01024,"Baseboard 7 301A","","","1.02","26.94","-0.15","-0.72","4.75%","4.85%","5.00%","0.24%","0.05"
01025,"Mouse Trap 7 301A","","","1.03","88.74","2.00","-3.88","74.23%","72.36%","79.32%","0.58%","0.10"
01026,"Radiator 7 301A","","","0.90","88.23","0.37","8.99","77.17%","73.00%","60.06%","0.52%","0.10"
01027,"Monitor Black Plastic 7 301A","","","1.06","31.61","0.57","-2.86","5.85%","5.90%","6.81%","0.98%","0.10"
01028,"Monitor Silver Plastic 7 301A","","","0.99","79.22","-0.61","1.24","52.78%","53.37%","51.39%","4.86%","0.10"
01029,"Monitor Screen 7 301A","","","1.04","28.54","-0.41","-1.11","2.46%","2.52%","2.71%","3.19%","1.00"
01030,"TV Screen 7 301A","","","1.02","28.30","0.30","-0.63","0.27%","0.27%","0.41%","5.30%","0.00"
01031,"Duct 7 301A","","","0.91","89.11","0.38","8.71","78.95%","74.84%","62.03%","0.62%","0.20"
01032,"Door Frame 7 301A","","","0.91","88.98","0.31","8.46","78.41%","74.58%","62.11%","0.60%","0.10"
01033,"Window Sill Concrete 7 301A","","","0.78","60.36","3.92","15.24","35.41%","28.01%","18.25%","0.09%","0.30"
01034,"Brick Outside Window 7 301A","","","0.83","69.48","2.28","13.61","46.41%","39.81%","28.10%","0.19%","0.00"
01035,"HVAC Vent Cover 7 301A","","","1.00","78.05","-0.40","0.54","51.23%","51.73%","50.93%","3.66%","0.05"
01036,"Mullions Interior 7 301A","","","1.01","28.63","0.03","-0.43","5.39%","5.42%","5.54%","0.29%","0.10"
01037,"Mullions Exterior 7 301A","","","0.92","46.27","0.18","4.67","16.30%","15.53%","13.09%","0.06%","0.10"
01038,"Metal Spandrel Panel 7 301A","","","0.92","45.72","-0.09","4.27","15.65%","15.15%","12.89%","0.08%","0.10"
01039,"Brick Building 7","","","0.77","75.37","3.71","19.70","59.64%","48.35%","29.88%","0.37%","0.30"
01040,"Brick Building 3","","","0.78","66.36","3.67","16.04","43.62%","35.34%","23.06%","0.17%","0.30"
01041,"Gravel","","","0.94","27.06","-0.41","3.40","5.71%","5.74%","4.92%","0.07%","0.30"
01042,"Concrete Jersey Barrier","","","0.77","57.54","3.21","15.51","31.21%","25.21%","15.76%","0.06%","0.10"
01043,"Concrete Block Barrier","","","0.90","55.43","0.12","7.08","25.17%","23.61%","18.96%","0.04%","0.10"
01044,"Asphalt","","","0.88","33.73","1.32","4.95","8.90%","7.80%","6.32%","0.05%","0.30"
01045,"Construction Office Trailer","","","0.99","79.92","-1.91","2.14","53.49%","55.98%","52.24%","3.38%","0.10"
01046,"Concrete Curb","","","0.82","47.00","1.57","10.20","18.54%","15.98%","11.17%","0.05%","0.10"
01047,"Grass","","","0.64","35.24","-0.00","18.35","10.35%","9.19%","3.53%","0.00%","0.40"
01048,"Brick Building 5","","","0.78","67.20","3.38","17.18","44.89%","36.51%","23.07%","0.24%","0.30"
01049,"Exhaust Stack","","","0.96","76.06","0.32","3.32","42.51%","41.20%","37.93%","15.14%","0.01"
01050,"Brick Building 5 Old","","","0.77","60.91","4.39","16.02","36.56%","28.53%","18.18%","0.13%","0.30"
01051,"Brick Building 1","","","0.80","66.81","3.33","14.53","43.56%","35.95%","24.58%","0.17%","0.30"
01052,"Concrete Pavement","","","0.82","56.28","2.10","12.25","28.34%","24.09%","16.62%","0.06%","0.10"
01053,"Grey Concrete Exterior Floor","","","0.91","69.12","0.99","7.22","42.75%","39.36%","32.78%","0.24%","0.30"
01054,"White Exterior Corridor Wall","","","0.94","90.81","0.10","5.74","81.38%","78.30%","69.24%","0.40%","0.20"
01055,"White Exterior Corridor Wall 2","","","0.96","93.21","0.01","4.17","86.06%","83.48%","76.52%","0.79%","0.20"
01056,"Green Door Frame","","","1.11","37.89","-8.28","-0.59","6.91%","10.84%","10.11%","0.10%","0.20"
01057,"Green Door Panel","","","0.96","56.16","-5.96","5.41","21.18%","25.43%","20.28%","0.17%","0.20"
01058,"Exterior Red Painted Wall","","","0.61","38.63","25.67","11.20","23.76%","6.59%","6.67%","0.04%","0.20"
01059,"Exterior White Painted Wall","","","0.95","93.39","0.11","4.85","86.84%","84.06%","75.96%","0.51%","0.20"
01060,"Leaf 1 Top","","","0.71","33.83","-6.72","14.23","6.94%","9.18%","3.96%","0.00%","0.20"
01061,"Leaf 1 Back","","","0.71","55.95","-7.32","22.13","22.70%","26.62%","11.16%","0.01%","0.20"
01062,"Leaf 2 Top","","","0.64","38.92","-7.96","20.17","9.34%","12.47%","4.08%","0.00%","0.20"
01063,"Leaf 2 Back","","","0.70","58.23","-7.71","24.25","24.98%","29.28%","11.53%","0.08%","0.20"
01064,"Green Tropical Grass","","","0.65","42.55","-9.13","21.23","10.91%","15.09%","5.00%","0.00%","0.20"
01065,"Concrete Exterior Floor","","","0.86","49.28","1.79","7.77","20.26%","17.70%","13.73%","0.02%","0.30"
01066,"Red Brick Sidewalk","","","0.62","40.72","16.88","15.19","21.56%","9.32%","6.28%","0.04%","0.30"
01067,"Metallic Pole","","","1.02","57.78","-1.63","-0.13","21.29%","22.78%","22.29%","4.27%","0.10"
01068,"Green Shrub","","","0.77","31.50","-6.81","9.53","5.41%","7.83%","4.20%","0.06%","0.20"
01069,"Tree Bark Rain Tree","","","0.75","24.88","2.00","8.64","5.35%","4.31%","2.68%","0.03%","0.30"
01070,"Tree Bark Mango Tree","","","0.63","23.05","4.95","12.80","5.57%","3.60%","1.70%","0.01%","0.30"
01071,"Green Leaf From Mango Tree","","","0.66","39.43","-5.74","18.63","10.07%","12.20%","4.46%","0.21%","0.20"
01072,"Tree Bark Unknown Tree","","","0.83","49.73","3.80","9.31","22.18%","17.68%","13.32%","0.04%","0.30"
01073,"White Plaster Facade","","","0.96","92.96","-0.49","4.91","85.15%","83.13%","75.03%","0.78%","0.20"
01074,"Light Concrete Pavement","","","0.86","64.96","1.72","10.34","38.50%","33.94%","25.74%","0.00%","0.30"
01075,"Green Leaf From Rain Tree","","","0.64","39.73","-8.25","20.64","9.42%","12.78%","4.03%","0.20%","0.20"
01076,"White Plaster Facade 2","","","0.97","93.93","-0.53","4.29","87.09%","85.33%","78.02%","0.89%","0.20"
01077,"Light Grey Plaster Facade","","","0.94","78.73","0.26","5.35","57.25%","54.51%","48.13%","0.10%","0.20"
01078,"Beige Plaster Facade","","","0.92","90.43","0.62","7.39","81.90%","77.46%","66.31%","0.43%","0.20"
01079,"Grey Plaster Facade","","","0.95","79.69","0.20","4.72","59.01%","56.77%","50.85%","0.00%","0.20"
01080,"Pale Orange Plaster Facade","","","0.72","78.04","8.79","21.69","71.01%","51.19%","31.24%","0.35%","0.20"
01081,"Light Grey Plaster Facade 2","","","0.96","78.53","0.11","3.76","55.79%","54.17%","49.63%","0.18%","0.20"
01082,"Metallic Shade Overhang","","","1.01","75.98","-0.59","-0.20","47.75%","48.77%","48.79%","2.54%","0.10"
01083,"White Exterior Plaster Facade","","","0.94","83.80","-0.40","5.51","65.59%","64.22%","56.56%","0.06%","0.20"
01084,"Grey Ceramic Tile Wall","","","0.94","59.61","0.62","3.97","26.42%","24.77%","21.86%","3.83%","0.10"
01085,"Grey Exterior Plaster Facade","","","0.98","71.58","-0.02","1.76","43.52%","43.22%","41.14%","0.00%","0.20"
01086,"Concrete Pavement","","","0.85","66.98","1.96","11.57","41.91%","36.52%","27.04%","0.00%","0.30"
01087,"Sandy Concrete Pavement","","","0.85","41.53","1.09","7.32","13.73%","12.26%","9.27%","0.00%","0.30"
01088,"Concrete Block Floor","","","0.91","37.81","0.95","4.01","11.05%","10.11%","8.67%","0.00%","0.30"
01089,"Asphalt Road","","","0.91","40.30","0.77","4.74","12.51%","11.46%","9.60%","0.00%","0.30"
01090,"Light Pink Exterior Plaster Facade","","","0.88","85.40","8.45","7.78","81.86%","63.32%","56.52%","0.70%","0.20"
01091,"Grey Aluminium Window Frame","","","0.98","71.73","-0.27","1.47","41.79%","41.71%","39.77%","2.96%","0.10"
01092,"Dark Brown Aluminium Window Frame","","","0.70","33.37","5.31","13.34","7.96%","5.48%","3.17%","2.18%","0.10"
01093,"Aluminium Door","","","0.98","72.28","-0.29","1.46","42.47%","42.47%","40.55%","3.16%","0.10"
01094,"Tree Bark","","","0.73","29.82","4.24","10.64","8.35%","5.92%","3.65%","0.00%","0.30"
01095,"Light Post","","","0.99","69.63","-0.89","1.37","38.85%","39.61%","37.76%","1.60%","0.20"
01096,"Green Leaf","","","0.71","37.38","-7.16","15.60","8.30%","11.08%","4.61%","0.12%","0.20"
01097,"Red Stone Exterior Floor Tiles","","","0.73","59.55","6.47","17.03","36.42%","26.58%","16.45%","0.12%","0.20"
01098,"Blue Ceramic Exterior Floor Tiles","","","1.09","43.63","-1.84","-4.05","11.23%","13.28%","15.15%","0.65%","0.20"
01099,"Green Reflective Glass","","","1.05","36.22","-4.81","0.76","0.01%","0.01%","0.01%","9.03%","0.10"
01100,"Concrete Grey Exterior Floor Tiles","","","0.93","49.76","0.49","4.60","19.20%","18.01%","15.48%","0.27%","0.20"
01101,"Light Golden Aluminium Column","","","0.94","69.49","-0.76","5.12","39.25%","38.72%","33.26%","2.91%","0.20"
01102,"White Plaster Facade","","","0.88","69.69","1.27","8.75","44.12%","40.28%","32.13%","0.24%","0.20"
01103,"Metallic Hand Rail","","","0.97","73.61","0.94","2.55","40.34%","39.28%","37.81%","11.31%","0.05"
01104,"Granite Wall Tiles Facade","","","0.98","58.60","-0.70","1.57","23.79%","24.18%","22.74%","3.49%","0.20"
01105,"Aluminium Yellow Facade","","","0.67","69.23","4.71","27.32","50.12%","37.63%","15.84%","2.98%","0.20"
01106,"Grey Aluminium Facade","","","0.93","67.19","-0.89","5.78","36.30%","35.83%","30.14%","2.45%","0.10"
01107,"White Rough Plaster Facade","","","0.86","65.21","1.80","9.65","38.55%","34.19%","26.40%","0.09%","0.30"
01108,"Asphalt","","","0.90","43.64","0.74","5.39","14.90%","13.64%","11.24%","0.00%","0.30"
01109,"Asphalt","","","0.89","47.20","1.20","6.35","18.03%","16.13%","13.05%","0.00%","0.30"
01110,"Grass","","","0.62","40.41","-7.30","21.84","10.47%","13.34%","4.14%","0.00%","0.20"
01111,"Aluminum Metal Cladding","","","0.99","84.35","-0.37","0.96","62.69%","62.99%","61.46%","5.33%","0.10"
01112,"Grass 2","","","0.57","42.08","-7.72","27.04","11.70%","14.68%","3.37%","0.00%","0.20"
01113,"Tree Foliage","","","0.68","43.27","-7.92","19.88","11.76%","15.23%","5.58%","0.11%","0.20"
01114,"Grass 3","","","0.65","43.28","-8.10","21.89","11.86%","15.41%","5.08%","0.04%","0.20"
01115,"Dark Tree Foliage","","","0.68","29.52","-6.02","14.98","5.32%","6.89%","2.59%","0.06%","0.20"
01116,"Light New Growth Tree Foliage","","","0.60","37.04","-11.17","24.11","7.30%","11.55%","2.55%","0.11%","0.20"
01117,"Fake Grass Field Astroturf","","","0.87","28.60","-3.35","7.24","5.43%","6.12%","3.98%","0.00%","0.20"
01118,"Grass 4","","","0.58","42.06","-7.19","26.70","11.82%","14.50%","3.44%","0.06%","0.20"
01119,"Grass 5","","","0.64","45.78","-6.91","23.65","14.27%","17.12%","5.50%","0.11%","0.20"
01120,"Road Paver Blocks","","","0.89","45.12","1.40","6.04","16.38%","14.53%","11.83%","0.00%","0.30"
01121,"Asphalt Road","","","0.90","39.97","1.01","5.26","11.50%","10.31%","8.46%","0.98%","0.30"
01122,"Grass","","","0.64","40.62","-7.36","21.58","10.57%","13.40%","4.27%","0.02%","0.20"
01123,"Grass 2","","","0.57","41.62","-9.48","27.74","10.71%","14.63%","3.08%","0.00%","0.20"
01124,"Tree Foliage","","","0.64","45.67","-9.45","24.39","13.11%","17.53%","5.22%","0.02%","0.20"
01125,"Grass 3","","","0.66","47.18","-3.87","23.14","17.13%","17.63%","6.32%","0.03%","0.20"
01126,"Grass 4","","","0.61","40.63","-9.68","24.55","9.81%","13.86%","3.54%","0.00%","0.20"
01127,"Parking Asphalt","","","0.90","36.93","1.15","4.46","10.56%","9.45%","7.95%","0.00%","0.30"
01128,"Parking Asphalt 2","","","0.91","55.66","0.89","6.16","25.65%","23.54%","19.61%","0.01%","0.30"
01129,"Grass 5","","","0.68","41.40","-2.85","18.47","12.93%","13.12%","5.45%","0.00%","0.20"
01130,"Tree Foliage 2","","","0.56","40.48","-10.45","27.44","9.50%","13.98%","2.79%","0.02%","0.20"
01131,"Asphalt Road 2","","","0.91","46.32","0.78","4.86","16.83%","15.49%","13.15%","0.00%","0.30"
01132,"Grass 6","","","0.65","39.10","-6.95","20.24","9.87%","12.39%","4.16%","0.00%","0.20"
01133,"Asphalt Road 3","","","0.92","48.92","0.74","4.84","18.92%","17.50%","14.95%","0.00%","0.30"
01134,"Asphalt Road 4","","","0.92","42.88","0.59","4.22","14.12%","13.12%","11.26%","0.00%","0.30"
01135,"Tree Foliage 3","","","0.83","42.56","-6.56","9.50","11.00%","14.34%","8.90%","0.00%","0.20"
01136,"Yellow Brick","","","0.71","68.31","6.14","22.58","50.74%","37.38%","20.53%","0.04%","0.30"
01137,"Dirty Brick","","","0.82","42.08","1.72","9.51","14.76%","12.53%","8.77%","0.00%","0.30"
01138,"Red Brick","","","0.81","38.05","4.58","7.84","12.95%","9.67%","7.37%","0.00%","0.30"
01139,"Concrete Exterior Wall Daniels Building","","","0.95","57.70","0.46","3.39","26.80%","25.68%","23.25%","0.00%","0.30"
01140,"Concrete Sidewalk","","","0.86","68.44","1.41","11.05","43.37%","38.55%","28.97%","0.07%","0.30"
01141,"Concrete Exterior Wall","","","0.92","64.22","0.68","6.26","35.47%","33.05%","27.94%","0.08%","0.30"
01142,"Concrete Sidewalk 2","","","0.87","46.37","1.42","7.05","17.52%","15.43%","12.16%","0.02%","0.30"
01143,"Brick Paver","","","0.91","38.11","0.86","4.57","11.15%","10.13%","8.49%","0.00%","0.30"
01144,"Asphalt Road","","","0.87","41.22","1.40","6.98","13.70%","11.95%","9.23%","0.00%","0.30"
01145,"White Brick Facade","","","0.85","84.35","1.46","14.52","73.19%","64.78%","47.13%","0.25%","0.30"
01146,"Clean Brick","","","0.73","67.12","4.12","21.02","47.45%","37.25%","20.90%","0.00%","0.30"
01147,"Dirty Brick 2","","","0.84","43.89","1.89","8.55","16.03%","13.65%","10.07%","0.00%","0.30"
01148,"Concrete Sidewalk 3","","","0.88","47.28","1.59","7.00","18.31%","16.01%","12.67%","0.11%","0.30"
01149,"Brick Sidewalk","","","0.84","42.98","3.54","7.82","16.04%","12.77%","9.86%","0.00%","0.30"
01150,"Plaster Exterior Wall","","","0.79","52.68","2.37","13.99","25.10%","20.59%","13.09%","0.01%","0.30"
01151,"Concrete Sidewalk 4","","","0.86","50.64","1.84","8.41","21.74%","18.81%","14.40%","0.00%","0.30"
01152,"Light Yellow Brick","","","0.75","79.92","2.45","23.73","68.26%","56.90%","31.89%","0.09%","0.30"
01153,"Red Brick 2","","","0.47","48.24","23.08","28.39","35.09%","13.02%","5.40%","0.03%","0.30"
01154,"Brick Facade","","","0.73","36.21","9.10","9.96","13.81%","8.13%","5.98%","0.00%","0.30"
01155,"Dirty Asphalt","","","0.88","34.64","1.03","5.28","9.35%","8.31%","6.67%","0.00%","0.30"
01156,"Dark Brick Facade","","","0.93","24.37","2.56","1.31","4.90%","4.05%","3.94%","0.00%","0.30"
01157,"Concrete Exterior Wall 2","","","0.84","60.98","2.60","10.80","34.12%","28.92%","21.50%","0.00%","0.30"
01158,"Blue Painted Asphalt","","","1.80","39.63","-8.31","-20.26","4.93%","11.00%","21.08%","0.01%","0.30"
01159,"Rough Concrete Wall","","","0.83","60.95","1.84","11.84","33.71%","29.18%","20.82%","0.00%","0.30"
01160,"Bright Concrete Wall","","","0.84","66.65","1.92","11.85","41.46%","36.04%","26.40%","0.05%","0.30"
01161,"Concrete Exterior Wall 3","","","0.92","67.74","0.63","6.06","40.18%","37.67%","32.24%","0.00%","0.30"
01162,"Concrete Sidewalk 5","","","0.85","52.50","2.17","9.28","23.92%","20.42%","15.33%","0.00%","0.30"
01163,"Brick Paver 2","","","0.81","43.33","5.52","8.67","16.89%","12.11%","9.29%","0.63%","0.30"
01164,"Wall Old Building","","","0.97","93.27","-0.67","3.63","84.68%","84.07%","77.74%","0.39%","0.20"
01165,"Wood Church Pew","","","0.57","43.73","9.67","24.97","20.00%","10.69%","2.82%","2.10%","0.20"
01166,"White Painted Wooden Door","","","0.98","94.07","-0.90","3.36","85.86%","85.78%","79.74%","1.75%","0.20"
01167,"Painted Metal Door","","","0.96","48.79","0.12","1.99","15.72%","15.44%","14.23%","2.45%","0.10"
01168,"White Ceiling","","","0.96","94.02","-0.69","4.09","86.63%","85.89%","78.65%","0.35%","0.20"
01169,"Accessibility Ramp","","","0.96","46.85","0.11","1.84","15.22%","14.97%","13.91%","1.18%","0.20"
01170,"Wood Table","","","0.66","73.84","7.78","32.42","64.71%","43.82%","17.87%","1.76%","0.20"
01171,"Plastic Chair Arm","","","1.04","27.30","-0.15","-1.54","4.27%","4.47%","4.85%","0.77%","0.20"
01172,"Elevator Door","","","0.96","72.38","0.36","3.59","30.46%","29.69%","27.32%","20.95%","0.10"
01173,"Black Door","","","1.02","25.59","-0.02","-0.72","2.54%","2.63%","2.79%","2.03%","0.20"
01174,"Wood Floor","","","0.60","64.36","10.63","33.29","49.76%","29.37%","9.47%","2.41%","0.20"
01175,"Wood Stair Treads","","","0.80","30.31","6.10","6.52","6.92%","4.01%","2.93%","1.94%","0.20"
01176,"Unpainted Wooden Door","","","0.76","76.69","5.14","21.75","63.52%","47.86%","27.51%","3.92%","0.20"
01177,"White Bench","","","0.99","93.63","-1.28","2.10","83.60%","84.91%","80.79%","1.24%","0.20"
01178,"Light Wood Floor","","","0.78","76.40","6.19","18.79","63.99%","47.75%","30.70%","2.23%","0.10"
01179,"Historic Brick Wall","","","0.69","55.37","10.54","18.63","34.63%","21.41%","12.75%","0.00%","0.20"
01180,"New Brick Wall","","","0.65","61.79","7.38","25.45","42.08%","29.12%","13.62%","0.02%","0.20"
01181,"Wood Bench 2","","","0.60","49.53","10.06","25.28","27.55%","15.81%","6.06%","0.92%","0.20"
01182,"Carpeted Stair Tread","","","0.92","34.67","0.68","4.18","9.23%","8.27%","7.01%","0.00%","0.30"
01183,"Wood Floor 2","","","0.56","59.46","13.88","33.63","45.09%","23.81%","7.55%","1.23%","0.20"
01184,"Wood Panel Wall","","","0.74","77.70","6.89","22.96","68.65%","49.92%","28.70%","2.24%","0.20"
01185,"Black Table","","","1.02","24.62","-0.08","-0.70","3.43%","3.51%","3.66%","0.81%","0.20"
01186,"Bench","","","0.77","80.12","4.97","21.78","71.06%","54.74%","32.57%","2.37%","0.20"
